account,sentiment_regime,n_trades,total_pnl,avg_pnl,win_rate,pnl_std,sharpe_like,max_drawdown,mean_size_usd,total_volume_usd,rank
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,4480.0,261917.97779200002,58.46383432857143,0.3794642857142857,1050.5948329123341,249.30446027984178,0.0,4447.524037946428,19924907.689999998,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,221.0,198900.56161000003,900.0025412217196,0.42081447963800905,3166.4699226569774,62.814606318162355,-9989.084800000535,2613.952760180995,577683.5599999999,2
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,986.0,166696.399486,169.06328548275863,0.3093306288032454,850.4207674054769,196.01637903854234,-408.11159000000043,10589.94378296146,10441684.57,3
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100.0,124769.22144099999,1247.69221441,0.37,11520.28289869012,10.830395619467513,0.0,15071.008600000003,1507100.8600000003,4
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,371.0,74346.546606,200.39500432884097,0.42857142857142855,682.3495332444903,108.95669005955214,0.0,25119.228652291105,9319233.83,5
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,387.0,37712.523409,97.44838090180879,0.25064599483204136,2391.264124756103,15.770956883671934,-49180.428759999995,10015.927416020671,3876163.91,6
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,509.0,33979.99999999999,66.75834970530451,0.6129666011787819,235.49710193233503,144.29052298810626,0.0,6242.196836935168,3177278.1900000004,7
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,5079.0,30774.092128,6.059084884426068,0.41327032880488285,65.45413991969065,470.1626538177487,-12974.087498000006,1445.72832250443,7342854.15,8
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,316.0,25672.838055,81.24315840189874,0.9145569620253164,385.39896752381213,66.6136658848568,-5843.04806,3415.97420886076,1079447.85,9
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797.0,16706.884912,20.96221444416562,0.37641154328732745,97.4522524981327,171.43662135793244,-10.713619999998627,6131.710464240904,4886973.24,10
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,159.0,12713.493131,79.95907629559748,0.27672955974842767,430.8276769319527,29.509462394654925,-4058.8889249999975,5132.397861635221,816051.26,11
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112.0,11415.247787,101.92185524107143,0.6875,146.8900078012523,77.71289523277349,0.0,2477.3216964285716,277460.03,12
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,739.0,9544.906133999999,12.915975824086603,0.3112313937753721,53.897420476086815,177.09393231972723,-1104.8567649999998,1679.1020433017593,1240856.4100000001,13
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,61.0,9461.082288,155.09970963934427,0.04918032786885246,876.5854566151864,10.793108893835246,0.0,2446.7424590163932,149251.28999999998,14
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Fear,68.0,3425.9609499999997,50.38177867647058,0.4852941176470588,111.07920979145057,30.842503799155452,0.0,9608.110294117649,653351.5000000001,15
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,825.0,3222.8221320000002,3.9064510690909096,0.47393939393939394,30.941859606677504,104.15735101145921,-465.6041399999997,3452.067006060606,2847955.2800000003,16
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,143.0,2037.258612,14.24656372027972,0.3076923076923077,34.32856409305836,59.34587320568872,-0.8998500000000149,1024.4990209790208,146503.36,17
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,539.0,1774.309786,3.2918548905380334,0.2504638218923933,16.227094473602197,109.3424204121323,-167.28820500000006,1370.6364564007422,738773.05,18
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Fear,270.0,1011.258943,3.745403492592593,0.22592592592592592,18.76415700798253,53.89311880996288,-1.0547299999999495,601.9969259259259,162539.16999999998,19
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,80.0,622.41079,7.780134875,0.075,35.21507697634498,17.674554294403272,0.0,3958.3206250000003,316665.65,20
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19.0,110.55336399999999,5.818598105263157,1.0,11.787854130929215,9.378582630228498,0.0,3388.2873684210526,64377.46,21
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Fear,17.0,0.0,0.0,0.0,0.0,,0.0,2238.4694117647055,38053.979999999996,22
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,79.0,0.0,0.0,0.0,0.0,,0.0,5570.2651898734175,440050.95,23
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,5.0,-961.048507,-192.2097014,0.0,407.1947060556327,-2.3601694538452507,-931.53522,292.026,1460.13,24
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170.0,-4235.153050999999,-24.91266500588235,0.3,299.07692609327376,-14.16074822729445,-4235.153050999998,2156.074411764706,366532.65,25
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,49.0,-4825.496358,-98.47951751020409,0.20408163265306123,281.7941514589331,-17.12418917503062,-4968.487948000001,5908.287346938776,289506.08,26
